Year,Category,Product,Country,Organization,Price_Low_USD,Price_High_USD,Price_Mid_USD,Price_Note,Source,Is_Estimated
2025,Identity – PII,Full Identity Package (Fullz),United States,Various,20,100,60.0,Actual,DeepStrike Aug 2025,No
2025,Identity – PII,Driver's License Scan,United States,Various,70,165,117.5,Actual,DeepStrike Aug 2025,No
2025,Identity – PII,Passport Scan,United States,Various,100,100,100,Actual,DeepStrike Aug 2025,No
2025,Identity – PII,Medical Record – Complete,United States,Various,300,500,400.0,Actual,DeepStrike Aug 2025,No
2025,Credit Card Data,Credit Card – Standard,United States,Various,10,40,25.0,Actual,DeepStrike Aug 2025,No
2025,Credit Card Data,Credit Card – High Limit ($5K+),United States,Various,110,120,115.0,Actual,DeepStrike Aug 2025,No
2025,Credit Card Data,Credit Card – Standard,United Kingdom,Various,10,60,35.0,Actual,DeepStrike Aug 2025,No
2025,Credit Card Data,Credit Card – Standard,Germany,Various,10,50,30.0,Actual,DeepStrike Aug 2025,No
2025,Credit Card Data,Credit Card – Standard,Australia,Various,15,50,32.5,Actual,DeepStrike Aug 2025,No
2025,Financial Accounts,Online Bank Login – Low Balance,United States,Various,200,500,350.0,Actual,DeepStrike Aug 2025,No
2025,Financial Accounts,Online Bank Login – High Balance,United States,Various,1000,3000,2000.0,Actual,DeepStrike Aug 2025,No
2025,Financial Accounts,PayPal Account – Verified,United States,PayPal,1500,2200,1850.0,Actual,DeepStrike Aug 2025,No
2025,Crypto Accounts,Coinbase Account – Verified,United States,Coinbase,120,250,185.0,Actual,DeepStrike Aug 2025,No
2025,Crypto Accounts,Kraken Account – KYC High,United States,Kraken,900,1170,1035.0,Actual,DeepStrike Aug 2025,No
2025,Crypto Accounts,Binance Account – Verified,United States,Binance,200,400,300.0,Actual,DeepStrike Aug 2025,No
2025,Hacked Services,Gmail Account,United States,Google,60,65,62.5,Actual,DeepStrike Aug 2025,No
2025,Hacked Services,Facebook Account,United States,Meta,45,50,47.5,Actual,DeepStrike Aug 2025,No
2025,Cybercrime Services,DDoS Attack – 24hr Unprotected,United States,Various,40,50,45.0,Actual,DeepStrike Aug 2025,No
2025,Cybercrime Services,Infostealer Malware Subscription,United States,Various,900,1100,1000.0,Actual,DeepStrike Aug 2025,No
2025,Cybercrime Services,Ransomware-as-a-Service,United States,Various,40,1000,520.0,Actual,DeepStrike Aug 2025,No
2025,Corporate Access,VPN Login – Basic User,United States,Various,200,1000,600.0,Actual,DeepStrike Aug 2025,No
2025,Corporate Access,Local Admin Access,United States,Various,1000,5000,3000.0,Actual,DeepStrike Aug 2025,No
2025,Corporate Access,Domain Admin / Cloud Admin,United States,Various,10000,100000,55000.0,Actual,DeepStrike Aug 2025,No
2025,Corporate Access,Zero-Day Exploit – Enterprise,United States,Various,10000,200000,105000.0,Actual,DeepStrike Aug 2025,No
2025,Forged Documents – Physical,Passport – Physical Forgery,Malta,Government Body,29150,29150,29150,Actual – estimated from 2023 trend,Privacy Affairs 2023 est.,No
2025,Forged Documents – Physical,Passport – Physical Forgery,France,Government Body,19000,22000,20500.0,Actual – estimated from 2023 trend,Privacy Affairs 2023 est.,No
